iter	Passed	Remaining
0	312	467939
1	557	417839
2	803	400747
3	1032	386189
4	1271	380306
5	1499	373255
6	1721	367086
7	1971	367651
8	2199	364430
9	2429	362065
10	2663	360590
11	2894	358862
12	3139	359148
13	3369	357657
14	3607	357173
15	3860	358070
16	4102	357882
17	4337	357097
18	4567	356052
19	4807	355732
20	5048	355532
21	5302	356214
22	5523	354687
23	5760	354297
24	5999	353948
25	6222	352748
26	6466	352802
27	6692	351820
28	6927	351414
29	7150	350380
30	7377	349590
31	7609	349065
32	7858	349327
33	8124	350313
34	8348	349461
35	8602	349830
36	8848	349888
37	9176	353067
38	9432	353354
39	9665	352780
40	9884	351739
41	10123	351416
42	10373	351487
43	10604	350902
44	10830	350198
45	11071	349954
46	11333	350379
47	11585	350450
48	11834	350449
49	12061	349782
50	12307	349665
51	12542	349271
52	12784	349038
53	13026	348833
54	13275	348784
55	13519	348604
56	13782	348914
57	14023	348649
58	14263	348356
59	14496	347916
60	14724	347361
61	14969	347185
62	15191	346520
63	15431	346248
64	15673	346027
65	15916	345832
66	16156	345551
67	16387	345098
68	16656	345450
69	16915	345557
70	17156	345306
71	17400	345109
72	17644	344913
73	17881	344582
74	18131	344489
75	18356	343937
76	18618	344070
77	18850	343650
78	19084	343286
79	19314	342824
80	19542	342350
81	19790	342237
82	20037	342082
83	20312	342411
84	20576	342535
85	20832	342521
86	21058	342022
87	21309	341915
88	21554	341728
89	21832	342037
90	22129	342640
91	22425	343211
92	22664	342885
93	22918	342795
94	23150	342385
95	23419	342504
96	23663	342266
97	23914	342122
98	24161	341915
99	24411	341758
100	24657	341543
101	24902	341312
102	25147	341078
103	25387	340775
104	25637	340616
105	25868	340196
106	26119	340041
107	26350	339633
108	26590	339339
109	26818	338893
110	27057	338580
111	27289	338194
112	27516	337743
113	27757	337472
114	27998	337194
115	28277	337379
116	28525	337190
117	28774	337007
118	29001	336564
119	29247	336349
120	29482	336000
121	29714	335628
122	29954	335346
123	30178	334882
124	30421	334637
125	30661	334351
126	30915	334225
127	31163	334037
128	31394	333652
129	31649	333533
130	31919	333568
131	32181	333515
132	32455	333588
133	32719	333547
134	32988	333554
135	33237	333352
136	33511	333401
137	33781	333405
138	34038	333287
139	34281	333022
140	34529	332805
141	34826	333060
142	35091	333002
143	35325	332646
144	35586	332545
145	35823	332225
146	36059	331891
147	36314	331738
148	36562	331518
149	36832	331489
150	37113	331559
151	37361	331333
152	37591	330955
153	37830	330644
154	38055	330225
155	38304	330011
156	38534	329629
157	38773	329331
158	39009	329000
159	39227	328530
160	39472	328280
161	39694	327850
162	39935	327571
163	40166	327206
164	40405	326919
165	40654	326702
166	40887	326364
167	41127	326079
168	41347	325639
169	41605	325502
170	41831	325108
171	42072	324837
172	42313	324562
173	42547	324238
174	42801	324064
175	43044	323814
176	43288	323565
177	43515	323187
178	43755	322911
179	43992	322608
180	44238	322381
181	44491	322194
182	44726	321882
183	44976	321679
184	45226	321474
185	45467	321202
186	45704	320906
187	45972	320829
188	46206	320511
189	46475	320439
190	46749	320391
191	47020	320330
192	47262	320060
